,video_id,video_title,upload_date,view_count,like_count,comment_count
9,euMyJ-0C7Kc,Cooking Paavangal | Parithabangal,7/1/2022,4473234,180653,5159
43,zeuQ46UMEaM,Food Paavangal | Parithabangal,3/25/2022,3939288,207947,3709
49,HOhqtQWiRlI,Hotel Paavangal | Parithabangal,3/6/2022,3335573,179535,5523
48,V3G6akfIA2A,Shopping Paavangal | Parithabangal,3/11/2022,3291773,168621,3404
46,X2kjYdAJMIM,Matrimony Paavangal | Parithabangal,3/18/2022,3042709,178870,4078
36,EdGQGRXAaUY,Marriage Paavangal | Parithabangal,4/9/2022,2874339,177779,3526
31,yUqdIFFIxjE,Public Exam Paavangal | Parithabangal,4/22/2022,2767365,191800,7427
34,MIXKDwUntUM,Summer Paavangal | Parithabangal,4/15/2022,2729791,152386,2311
24,mA6RhpdOwOg,Vaathiyar Paavangal | Parithabangal,5/13/2022,2339285,165677,4712
2,#NAME?,Aadi Maadha Paavangal | Parithabangal,8/6/2022,2330198,164471,4084
26,kLraoHdtVdw,English Paavangal | Parithabangal,5/6/2022,2281294,136754,2903
8,wC5ABsni89M,Cyber Crime Paavangal | Parithabangal,7/6/2022,2249571,153150,4479
5,2pCpLlkfg8I,Aadi Thiruvizha Paavangal | Parithabangal,7/20/2022,2216374,145924,3655
41,j0RRhD2bz0Y,Photography Paavangal | Parithabangal,3/31/2022,2196174,143732,3671
15,_ag9HSCqByU,Serial Paavangal | Parithabangal,5/26/2022,2170581,130281,3466
14,F9hGgWVH4TQ,Bike Mechanic Paavangal | Parithabangal,6/3/2022,2152804,125303,2560
16,VOskpwBjjSQ,Cab Paavangal | Parithabangal,5/20/2022,2118972,139228,2813
13,VPS8fzHzJuE,Traffic Police Paavangal | Parithabangal,6/10/2022,2085258,129080,2498
6,Y_ru3l_wyYk,Auto Paavangal | Parithabangal,7/13/2022,1992427,132101,3703
11,r1gWbvwEE9o,Sarakku Paavangal | Parithabangal,6/22/2022,1988554,137874,3101
12,b9zbxNCMPis,Map Paavangal | Parithabangal,6/18/2022,1920207,137447,3603
3,53l_x0G_730,Suicide Paavangal | Parithabangal,8/2/2022,1875037,160516,4760
30,GAuTss7Inn0,IPL Paavangal | Parithabangal,4/30/2022,1847864,135863,3075
4,RiHnwytAShY,TOLLGATE Paavangal | Parithabangal,7/28/2022,1832445,118700,2044
22,iz7tCAIQ3Ag,உனக்கு நான் தம்பியா😂 #Shorts | Parithabangal,5/16/2022,1814771,173622,316
0,vZFbBpBYTA8,Independence Day Paavangal | Parithabangal,8/15/2022,1804295,155331,3709
10,KMh_5pzNZjA,Park Paavangal | Parithabangal,6/26/2022,1747368,117716,2924
17,KFHZy1AU-mQ,Shooting Spot கலாட்டா😂 #Shorts | Parithabangal,5/19/2022,1411451,89985,257
32,6WS5tlzI4DQ,யாரு டா என் பிள்ளையை அடிச்சது 😂👊 #shorts | Parithabangal,4/19/2022,1394712,123175,169
7,EDS7X26AnTg,Cricket Tournament Paavangal | Parithabangal,7/9/2022,1365463,98602,2805
42,QrOibqU3ih0,எனக்கும் பொண்ணு வேணும் 😭 | #Shorts | Parithabangal,3/28/2022,1330098,125915,235
1,ge_CUZ4BPnc,Kho Kho Paavangal | Parithabangal,8/11/2022,1265810,90727,1915
28,pa64ckaQqbQ,Photo எடுக்குறதுக்கு இவ்வளவு அலப்பறையா😂 #Shorts | Parithabangal,5/4/2022,1233170,106433,301
47,kfVehf1JHpg,Oru Vilaka Ethiyachu #Shorts | Parithabangal,3/13/2022,1196738,94597,1230
45,gZ65ylqGV6M,திருந்தமாட்டியா டா நீ  😆😜 | Shorts | Parithabangal,3/20/2022,1031055,65410,749
39,37tu83ku0WY,இவன் bike விப்பான மாடானா🤭😝 | #shorts Parithabangal,4/3/2022,992911,62764,223
35,vAGOXpEpruo,Coat இல்லாம இவரு வரமாட்டாரு 😅🤣 | #Shorts | Parithabangal,4/11/2022,937123,93361,174
44,kPS5MmK8rbA,விசாரிப்பு ஜாஸ்தியா இருக்கே 🤪🤔 |#shorts | Parithabangal,3/22/2022,849576,54699,451
18,_ESYG6N4PjI,என்கிட்ட மட்டும் ஏன்டா கேக்குறீங்க😂 | #shorts | Parithabangal,5/18/2022,839954,66410,465
33,jrfaQGNR1Rg,எப்டி வந்து சிக்கி இருக்கேன் பாத்தீங்களா 😭 | #Shorts | Parithabangal,4/18/2022,831033,84215,153
37,LcNTtZX0MMM,எவன்டா இத கண்டு பிடிச்சது😅 | #Shorts | Parithabangal,4/7/2022,771429,65527,155
40,51b8UgRtYAc,சோறு இல்லனா photo கிடையாது 😅 #shorts | Parithabangal,4/2/2022,763348,74808,153
29,sFCjYgifWvc,அனைவருக்கும் ரம்ஜான் நல்வாழ்த்துக்கள் #Shorts | Parithabangal,5/3/2022,592454,47088,174
27,#NAME?,Unboxing Iyanthira Paravai Silver Play Button #Shorts | Parithabangal,5/5/2022,547445,41695,106
38,hT2ml_mXFPM,Lovers சந்தோஷமா இருக்க கூடாது😂 #shorts | Parithabangal,4/5/2022,540419,46813,94
23,bpCxCVSDf10,Tution Paavangal #Shorts | Parithabangal,5/15/2022,445172,47526,97
19,klzaWYbWEKU,Cannes Film Festival-க்கு போறேன் | #Shorts | Parithabangal,5/18/2022,424607,32297,90
25,jLp6kVYT0L0,Fun Bloopers😂 #Shorts | Parithabangal,5/13/2022,392833,34268,73
20,4l0rTSr6cnM,Beast Paavangal Bloopers 😂 | #shorts | Parithabangal,5/17/2022,342769,29790,65
21,rQRj_xuG83s,IPL Bloopers😂 #Shorts | Parithabangal,5/16/2022,300968,33057,104
